ID;Parcela;Incendio;Especie Dominante;CBI Sotobosque;CBI Dosel;CBI Parcela;Geo CBI;CBI Par SS;GeoCBI Par SS;X;Y;MapX;MapY;Lat;Lon;NDVI2017;NDVI2018;NDVI2019;NDVI2020;NDWI2017;NDWI2018;NDWI2019;NDWI2020;NBR2017;NBR2018;NBR2019;NBR2020;B1_2017;B2_2017;B3_2017;B4_2017;B5_2017;B6_2017;B7_2017;B8_2017;B8_2017;B9_2017;B11_2017;B12_2017;B1_2018;B2_2018;B3_2018;B4_2018;B5_2018;B6_2018;B7_2018;B8_2018;B8A_2018;B9_2018;B11_2018;B12_2018;B1_2019;B2_2019;B3_2019;B4_2019;B5_2019;B6_2019;B7_2019;B8_2019;B8A_2019;B9_2019;B11_2019;B12_2019;B1_2020;B2_2020;B3_2020;B4_2020;B5_2020;B6_2020;B7_2020;B8_2020;B8A_2020;B9_2020;B11_2020;B12_2020
11;12;Las Maquinas;Eucalipto;0.35;0.75;0.45;0.66;0.32;0.49;3426;4122;200165.62;6072531.14;-35.445.537;-72.303.200;0.2753;0.0562;0.0392;0.0236;0.3614;0.1443;0.0758;0.0703;0.4528;0.1811;0.0954;0.0848;80.7827;32.9588;139.4853;-107.6405;38.0565;1066.8972;1409.0938;1979.3033;1567.2632;967.835;-216.1124;-617.5712;138.8479;94.1926;202.2977;105.0117;160.6833;630.1514;923.8998;1186.3528;1058.6437;866.7964;-32.5018;-249.0939;-6.3273;29.1596;140.0214;6.4231;84.989;369.4956;549.4828;775.4188;769.8149;586.8905;12.6663;-130.3597;119.9042;136.0541;217.6759;148.222;156.5162;558.6702;773.314;1068.5817;929.8844;706.0887;224.1423;19.9986
12;13;Las Maquinas;Eucalipto;0.96;1.06;0.99;1.26;0.74;0.85;3700;4247;202905.62;6071281.14;-35.457.612;-72.273.515;0.2467;0.1271;0.0929;0.0941;0.2607;0.1246;0.0892;0.0903;0.4126;0.2067;0.1516;0.1389;-41.7556;11.6158;121.0867;-45.6006;128.4213;1197.0874;1601.2297;1626.973;1799.7424;1731.7351;7.2953;-781.8646;11.5348;26.7733;88.1789;22.1259;-49.4923;640.6055;965.8749;985.4056;1142.7955;1192.0315;-6.7468;-414.498;-0.6989;0.8851;70.3873;5.9014;-4.3729;577.2628;915.4133;914.3434;1107.2125;977.0049;121.2826;-223.0684;94.7595;123.4621;187.366;141.7407;1.3037;673.8019;994.4852;1058.3574;1127.299;997.7366;234.0352;-87.9167
13;14;Las Maquinas;Esclerofilo;0.37;0.37;0.37;0.27;0.5;0.44;4724;5031;213145.62;6063441.14;-35.531.201;-72.163.611;0.0524;0.0198;-0.0231;-0.0207;0.0925;0.0029;-0.0116;-0.0214;0.1211;0.004;-0.038;-0.0486;173.5735;214.9271;363.0975;345.1362;532.3898;873.016;1027.9225;1103.5913;1171.0435;827.1665;806.3428;458.3635;205.9002;155.9643;241.2262;230.3426;359.4417;502.1293;545.3237;635.7815;657.2063;204.1216;683.5332;471.515;180.7035;122.2548;199.2692;271.373;311.2232;342.0212;430.6608;455.9263;551.7803;172.9924;574.9745;511.5809;199.287;142.4226;213.5306;266.7573;308.4568;299.3356;365.5543;436.8678;437.7252;38.0891;614.2374;540.8472
14;cali1;Las Maquinas;Pino;0;0;0;0;0;0;2986;3816;742640;6074120;-35.446.822;-72.326.685;-0.0356;-0.0427;-0.072;-0.0828;-0.0372;-0.0501;-0.0818;-0.0895;-0.0407;-0.0425;-0.0764;-0.0776;129.9608;163.0222;181.0377;229.9792;175.1871;230.9541;314.9381;378.7057;327.2748;356.1631;435.6526;263.7118;175.9651;180.631;209.6294;271.1468;191.0962;297.1274;428.9465;448.4351;472.7772;451.2142;531.7133;288.2735;156.0595;180.5863;229.0309;333.1273;279.0417;350.8705;487.4512;529.7271;564.0549;590.0404;699.9931;402.2802;179.0521;201.3812;249.6523;364.3011;301.9438;375.504;493.748;526.3788;633.4519;679.4972;726.7291;404.7592
15;cali2;Las Maquinas;Pino;0;0;0;0;0;0;4583;3425;758610;6078030;-35.407.587;-72.152.162;-0.0605;-0.0635;-0.1279;-0.1443;-0.0674;-0.1102;-0.1368;-0.1681;-0.0824;-0.1297;-0.1756;-0.1994;131.5729;175.0317;186.7809;258.2366;199.4773;125.463;92.9078;41.1481;95.6936;424.0834;401.4095;351.7934;168.8198;143.6515;172.1161;165.3677;131.4291;-106.1411;-64.7023;-262.7383;-191.0167;222.1583;422.9514;404.7079;117.1524;131.6113;160.3351;293.8918;79.2143;-407.4918;-510.5708;-655.9271;-532.9161;-195.6907;353.2576;459.4588;142.992;236.3712;241.8609;357.6036;122.8406;-390.6069;-498.4412;-633.0289;-604.2452;-224.2451;525.3296;553.0671
16;87;Nilahue Barahona;Peumo - Quillay;1.27;1.27;1.27;1.52;1.28;2.44;2533;7620;252210;6167460;-34.604.817;-71.702.171;0.3182;0.1623;0.1164;0.1562;0.1983;0.1219;0.0862;0.1097;0.3721;0.211;0.12;0.1655;-635.5952;-658.953;-498.1296;-688.4307;-248.5744;949.629;1182.8442;1351.0344;1346.3877;1323.9926;-311.9238;-1725.3378;-40.1449;-167.9442;-114.8361;-456.775;-373.5541;372.2367;338.158;551.2607;324.6033;219.6638;-656.1106;-1134.8456;163.4603;28.7977;150.6164;-141.3766;-124.2401;597.3051;585.1146;598.79;480.95;445.8071;-229.0159;-383.9569;-34.3246;-222.2044;-169.7659;-534.1827;-403.1193;352.7762;385.6982;383.0127;357.3213;212.2546;-725.1238;-895.1144
17;88;Nilahue Barahona;Peumo - Quillay;0.63;0.63;0.63;0.33;0.81;0.4;2067;7338;247550;6170280;-34.578.279;-71.752.098;0.0792;0.0584;0.0318;0.0494;0.0644;0.0136;0.0098;0.005;0.1662;0.0333;0.0213;0.0217;-42.546;174.6421;345.7288;520.2654;635.1768;970.3415;1111.9323;1222.6841;1238.9497;1215.1027;1186.4178;111.7524;131.2653;95.7023;182.7822;49.2836;39.613;123.6648;242.9019;356.2964;235.8782;277.2056;329.166;63.2052;151.8751;104.6364;167.8419;45.9833;203.3232;327.838;377.2432;255.9951;353.8865;341.0513;231.3079;60.9722;147.5854;79.9154;157.3876;10.0796;98.8588;241.8098;306.1501;230.3186;286.6609;295.0364;253.6914;32.99
18;89;Nilahue Barahona;Pino Radiata;0.63;2.31;1.19;0.69;1.16;0;2392;7369;250800;6169970;-34.581.865;-71.716.795;0.2746;0.276;0.1627;0.1197;0.2061;0.2201;0.1696;0.1307;0.2974;0.2775;0.2155;0.1705;-181.5154;-197.7321;-122.0505;-384.0719;-84.184;649.5605;1007.3058;1151.407;1105.5938;885.9191;-56.1484;-447.0895;-144.9085;-435.5795;-468.0264;-827.0006;-554.6117;180.9264;401.7303;547.3939;482.615;723.0804;-1035.535;-1032.6809;-34.7005;-218.213;-205.2136;-354.5608;-341.6697;213.1338;456.9272;399.9324;508.3002;525.8022;-782.8156;-779.7052;-72.8492;-227.3224;-265.1883;-360.6273;-366.119;12.2822;224.0573;148.2487;235.0353;232.6364;-745.7894;-715.3501
19;90;Nilahue Barahona;Pino Radiata;0.83;1.63;1.1;1.17;1.15;1.39;2406;7333;250940;6170330;-34.578.657;-71.715.164;0.0452;0.043;0.0225;0.0585;0.0543;0.0628;0.0526;0.0861;0.0683;0.0541;0.032;0.0661;21.1447;-11.4129;-10.495;-46.5547;-65.1163;234.2384;194.1731;383.8391;255.8131;640.203;-26.2379;-90.5657;82.6862;-10.1951;26.2311;-23.0679;71.9879;309.8901;334.8265;530.1337;445.7336;694.4028;22.2205;-9.9506;114.3369;16.7998;9.1848;-11.4683;61.3159;221.4264;304.8429;362.1873;272.7249;576.7479;-31.1645;-1.8897;76.025;-22.8905;0.7165;-57.446;-7.168;274.8562;383.6598;498.6725;426.3763;609.6455;-78.8065;-48.515
20;91;Nilahue Barahona;Pino Radiata;0.17;2.63;0.99;0.33;1.36;0.45;2420;7269;251080;6170970;-34.572.925;-71.713.452;0.2497;0.2306;0.1781;0.1841;0.2122;0.2966;0.2641;0.2666;0.2671;0.3353;0.3029;0.2967;-254.7419;-146.853;-175.7599;-605.4978;-290.5127;974.8737;1184.809;1054.1113;1286.9535;1378.2595;-476.8199;-635.8354;-3.798;-245.1384;-152.9747;-431.24;-355.2695;634.8527;818.3015;1255.8518;1078.7491;916.2207;-801.9799;-791.8031;164.6265;-106.8255;18.8507;-163.2369;-198.8093;902.4146;1181.3911;1253.0369;1202.3651;1298.9446;-582.1382;-643.1538;-32.7689;-272.8585;-272.0225;-438.21;-441.658;475.9133;825.4045;907.2021;821.8628;936.7473;-1013.7085;-891.972
